name,partType,partQuality,partEffect,imgUrl
Cooling Core,core,white,All weapon reload faster by +{1}.,
Hydraulic Joint,core,white,"HP -{1}.
{skill1memo}",
Hydraulic Joint,core,white,Mech’s ability cooldown -{value}.,
Simple Attack Core,core,white,First weapon ATK +{1}.,
Fixed Turret,core,green,"Decreases moving speed.
Shooting weapon's ATK +{2}.",
Intensifier,core,green,"All attributes +{1:值}. 
Weapon switching and action speed +{2}.",
Double-Barrel Attack Core,core,green,The first 2 weapon's ATK+{1},
Charge Core,core,green,"Melee ATK +{1}. 
Teleports to collide into a single enemy when using active skills.",
Attack Aircraft Dock,core,green,Launches 4 attack drones when uses active skills.,
Stress Core,core,green,"HP +{1}.
When HP is lower than 10%, can immediately use active skill if available",https://rwiki.jp/attach/ironsaga/8/89/12081/a65e1a8ad66dc02b2774e05268c6690b.png
Secondary Armament Core,core,green,,
Burst Core,core,green,,
Portable Landmine,core,green,,
Large Cooling Core,core,green,,
Shield Core,core,blue,,https://rwiki.jp/attach/ironsaga/b/bc/12077/5cd6a8a8506aa49a7a5786f93c0f7210.png
Enhanced Attack Core,core,blue,,https://rwiki.jp/attach/ironsaga/5/5b/12078/e19e54013f4f9b51545ca4bdfde42bdd.png
Rage Core,core,blue,,https://rwiki.jp/attach/ironsaga/3/3d/12075/aad46d1c92a8a79da98816d001a4954d.png
Sapphire Gem,core,blue,,https://rwiki.jp/attach/ironsaga/e/ef/12063/4f6a245e6c42df8a64b965fcf4d8d45c.png
High Torque Joint,core,blue,,https://rwiki.jp/attach/ironsaga/e/ef/12076/8a5a173b01864ea2b7498d9c38d83a28.png
Axle Bearing,core,blue,,https://rwiki.jp/attach/ironsaga/7/74/12064/806c940fe6226218c984f832cad93561.png
Overload Core,core,blue,,https://rwiki.jp/attach/ironsaga/0/04/12083/2747f6803360bc10928228b70471eca4.png
Main Armament Core,core,blue,,https://rwiki.jp/attach/ironsaga/b/b6/12057/e3a7c797e8b7f645d4343356d8ceaacf.png
Overclocked Cooling Core,core,blue,,https://rwiki.jp/attach/ironsaga/8/8e/12065/f87bfabd9f82051b30454fafa714ea13.png
Elemental Core,core,blue,,https://rwiki.jp/attach/ironsaga/f/f1/12082/1eee90327a54b204dcc34fcdf912a054.png
Missile Core,core,purple,Missile weapon ATK +40%. Missile weapon have a 18% chance to fire an additional free missile. This effect cannot stack with any other ammo consuming effects.,https://rwiki.jp/attach/ironsaga/f/f3/12059/bf00057db6805b522d00ba199a956fae.png
Shotgun Core,core,purple,Shotgun ATK +45%. Shotgun have a 15% chance to not consume any ammo. Cooldown: 1s.,https://rwiki.jp/attach/ironsaga/a/a6/13608/d30a8e4b389f01a911316951cd649c2c.png
Transmission Core,core,purple,Melee damage +45%. Mech's ability cooldown -18%.,https://rwiki.jp/attach/ironsaga/0/06/12072/4a85d5d29cdd7ea051457759dde633d9.png
Extreme Cooling Core,core,purple,All weapon reload faster by +40%. Switching between weapons and abilities is 30% faster.,https://rwiki.jp/attach/ironsaga/c/c3/12071/7b09d84a331f7af4119844f13a028b5f.png
Multi-core Processor,core,purple,All weapon ATK +40%. Can attack with two identical weapons simultaneously.,https://rwiki.jp/attach/ironsaga/c/c2/12074/f50acdc3e8b477b320ec21a210fa6a53.png
Balanced Core,core,purple,All weapon ATK +25%. HP +25%.,https://rwiki.jp/attach/ironsaga/0/00/12054/6bed4d64559208f1a8731bec9fd495e6.png
Crimson Gem,core,purple,Beam and fire ATK +50%. Beam and fire attack will ignore 20% of enemy pilot's defense stat.,https://rwiki.jp/attach/ironsaga/1/16/12052/d457ebeb218865bcc49c407218bcc8d8.png
