Pilot,Description,Skill1,,Skill2,,Skill3,,Skill4,,image
Adad,星团评议会直属的特工，同时也是移民管理局的代理人，身手高强，说话语气彬彬有礼，似乎有着自己的打算。,爆弹投下,在全部敌人的头顶设置爆弹阵，数量随技能等级提高,防身匕首,受近身攻击时，绕到敌方身后并投掷周波匕首进行反击，最小间隔3.2s秒，不能与必闪类技能叠加,Intuition,敌人发动主动技能时触发，Enters stealth for 2.5s并加快动作冷却,强化剂,耐久低于1/3时，立刻巨大化撞击敌人，同时20秒内全属性增加60%,https://i.imgur.com/ptN30hE.png
Airu,Tysha's younger sister who was quite young at the time of the village tragedy and her character was not affected by the hatred. She is a naive and lively girl and has a special interest in explosives.,Burst Fire,"The first main armament 5× scatters, dealing 50% bonus damage",Machinist,Heals 0.75% HP per second. Cannot be stacked with other recover per second type effects.,Emergency Shield,"When HP is lower than 25%, gains an emergency shield that lasts for 2s.",Self-Destruction,Deals 15% of Max HP damage when being destroyed. Cannot be stacked,https://i.imgur.com/B0a0M4k.png
Alice,"A member of Rosy Tri-Stars team, which belongs to the world's biggest mercenary company G.O.E. She's the close-combat expert and the mechanic in the group. Besides her lazy and frivolous personality, she also prefer boys who are younger than her.",Trust,Recovers 25% of HP for the ally with the lowest HP. Grants a shield for 2s,Toughness,Activates when HP is lower than 20%. Heals 25% for 5s.,Machinist,Heals 0.75% HP per second. Cannot be stacked with other recover per second type effects.,Force,Damage taken decreases with lower HP. Up to 20%. Cannot be stacked.,
Alniyat,Senior combat spy with a code name of Alniyata. A hardworking person who works hard to make sure everything is in the right order. She likes Lesbian fiction and always imagines her two elder sisters doing such things.,Assassination,Becomes stealth and assassinates the target. Damage increases with skill level,Consecutive Assassination,Launches a melee attack with a 19% chance to deal extra damage.,Empty Cicada,Teleports to the back of the enemy after receiving a melee attack. CD: 5.6s. The effect cannot stack with other 100% Evade skills.,Assassin,"Every 15s, becomes stealth and increases attack briefly. Max: 5 times.",
Alniyata,"A Takahashi combat corps special agent, the oldest of the three Alniyat sisters. A cold and quiet beauty of few words, she is a master of killing and interrogation techniques. Despite this, she is a surprisingly grounded and reasonable person with a deeply considered and enlightened understanding of what it means to kill.",冰岚刃舞,使用特殊剑技“冰岚刃舞”升级提高伤害,协同作战,友方隐身时，自己2秒内受到最终伤害降低，升级提升效果，最高35%,二刀流,驾驶持有两把剑形格斗武器的机体时，使用机甲动作触发，减少自身动作冷却时间，升级提高效果,冷艳,每3秒，以自己为目标的敌人受到短暂冰冻效果,
Amanda,Pilot of Agares. She has been with millions of men in her life and is believed to be the incarnation of libido. She thought no man can resist her until she met Osin.,Ice Melody,Summons a blizzard to freeze enemies and blocks shells for 3.6s,Scapegoat,"When receiving fatal damage, switches position with a random ally. Heals 10% HP and enters stealth.",Libido,"For every male reader.pilot on the battlefield, final attack and defense+5%. Can be stacked.",Crisis Phantom,"When HP is lower than 40%, creates a clone that lasts for 3s at most.",https://i.imgur.com/AQXkSXW.png
Amy,"Being preciseness and serious, she is a low-key maths genius. She graduated from Empire Academy maths department with the 1st ranking at the age of only 16.",Disturbing Wave,Releases Disturbing Waves to interfere nearby enemies for 1s,Precision Guidance,"Missile attack+ 10%, Missile's guidance capability+25%.",Ballistics,Bullet speed+20. Non-missile weapon scattering angle-50%,Pellet Bash,16.5% chance to knock down an enemy and deal bonus damage when main armaments attack with normal and explosive attributes,
Andrea,"One of the Vatican Knights. Nicknamed ""one-man army"". She is able to control multiple mechas on her own. Just like Wynonna, she is also a freak in the Vatican. Unlike other members, she is actually more interested in human body.",Mecha Spirit Sea,Releases many Mecha Spirits. Spirit numbers increase as level ups.,Fire Spirit,Releases a Mecha Spirit that can deal fire damage every 10s.,Paralysis Spirit,Releases a Mecha Spirit that can paralyze enemies every 10s.,Interception Spirit,Releases a Mecha Spirit that can intercept missiles and drone every 10s.,
Annabelle,出身于贵族世家谢菲尔德家族，同时也是艾莉西亚的妹妹，作为女王的贴身女仆在帝国皇宫里任职。行事恪尽职守，无论战斗还是家务都可以快速，优雅地完成，非常能干。不过在完美的表象下，有放飞自我，狂热喜爱枪械的一面。,大扫除,限30次，射击对敌方造成强力冲击效果，击退敌人，升级提升击退距离,女仆的职责,除自己外友军耐久低于50%时，Heals 28% HP，每名友军仅生效1次,忠义之心,全体光环：提升我方的回复能力，所有我方受到耐久恢复效果提升28%，对秒回光环无效。,一尘不染,每射击命中10次，驱散目标增益效果并造成小幅击退,
Antares,"A Takahashi combat corps special agent, and the second of the three Alniyat sisters. An extremely clever young woman, she seems to be having second thoughts about her mission, but keeps them hidden deep down. Extremely adept at concealing her emotions, even her sisters who share a mystical bond with her often struggle to determine her true feelings.",Flame barrier,Creates a layer of flame protection for all allies to burn nearby enemies and destroy missiles. Upgrade to increase damage.,Overheat,Causes overheat while dealing fire damage. Interval: 5s,Special Fuel,Fire distribute increases 6%. Enemy burning resistance decreases 25% permanently,Assassin,"Every 15s, becomes stealth and increases attack briefly. Max: 5 times.",
